"","Time","Force 1","Force 2","Angle","Velocity","Acceleration","Force1","Force2","Ratio","Torque","Length","Spin","Mass","V_bin"
"3579","1.42","7.64316239316","-5.36586640606","0.558505360638",1.18779351872,"-3.97277877576",7.64316239316,-5.36586640606,-1.42440415298601,0.9854983667922,"30cm","spin","100g",1.2
"3580","1.44","7.73290598291","-5.57928018256","0.575958653158",0.969627362219,"-4.17478447622",7.73290598291,-5.57928018256,-1.38600423887689,0.9925574919597,"30cm","spin","100g",1
"3581","1.46","7.67307692308","-5.67074322962","0.593411945678",0.921145994108,"-0.0336676167437",7.67307692308,-5.67074322962,-1.35309898762497,0.9808392415734,"30cm","spin","100g",0.9
"3582","1.48","7.55341880342","-5.70123091198","0.610865238198",0.969627362219,"3.93911115901",7.55341880342,-5.70123091198,-1.32487508750926,0.9619758931536,"30cm","spin","100g",1
"3583","1.5","7.43376068376","-5.64025554727","0.628318530718",1.18779351872,"2.82807980647",7.43376068376,-5.64025554727,-1.31798295688182,0.9458564361459,"30cm","spin","100g",1.2
"3584","1.52","7.34401709402","-5.48781713549","0.663225115758",1.18779351872,"-3.09742074042",7.34401709402,-5.48781713549,-1.33824012584637,0.9369680500383,"30cm","spin","100g",1.2
"3585","1.54","7.37393162393","-5.3353787237","0.680678408278",0.969627362219,"-5.0838101283",7.37393162393,-5.3353787237,-1.382082136208,0.9460283818785,"30cm","spin","100g",1
"3586","1.56","7.46367521368","-5.3353787237","0.698131700798",0.896905310053,"-2.96275027345",7.46367521368,-5.3353787237,-1.39890260845514,0.959489920341,"30cm","spin","100g",0.9
"3587","1.58","7.64316239316","-5.36586640606","0.715584993318",0.872664625997,"-1.14469896929",7.64316239316,-5.36586640606,-1.42440415298601,0.9854983667922,"30cm","spin","100g",0.9
"3588","1.6","7.70299145299","-5.48781713549","0.733038285838",0.872664625997,"-0.235673317206",7.70299145299,-5.48781713549,-1.40365308515372,0.9908142038838,"30cm","spin","100g",0.9
"3589","1.62","7.70299145299","-5.67074322962","0.750491578358",0.872664625997,"-0.0336676167437",7.70299145299,-5.67074322962,-1.35837422734201,0.9853264210599,"30cm","spin","100g",0.9
"3590","1.64","7.70299145299","-5.79269395905","0.767944870878",0.872664625997,"1.75785312232E-14",7.70299145299,-5.79269395905,-1.32977704457449,0.981667899177,"30cm","spin","100g",0.9
"3591","1.66","7.67307692308","-5.82318164141","0.785398163397",0.872664625997,"2.45174251271E-14",7.67307692308,-5.82318164141,-1.31767775686662,0.9762660892197,"30cm","spin","100g",0.9
"3592","1.68","7.67307692308","-5.79269395905","0.802851455917",0.872664625997,"0",7.67307692308,-5.79269395905,-1.32461286187789,0.9771807196905,"30cm","spin","100g",0.9
"3593","1.7","7.64316239316","-5.70123091198","0.820304748437",0.872664625997,"-0.0336676167437",7.64316239316,-5.70123091198,-1.34061617765725,0.9754374316146,"30cm","spin","100g",0.9
"3594","1.72","7.58333333333","-5.51830481784","0.837758040957",0.872664625997,"-0.235673317206",7.58333333333,-5.51830481784,-1.37421428928935,0.9719508554643,"30cm","spin","100g",0.9
"3595","1.74","7.64316239316","-5.45732945313","0.855211333477",0.872664625997,"-1.14469896929",7.64316239316,-5.45732945313,-1.40053160777683,0.9827544753801,"30cm","spin","100g",0.9
"3596","1.76","7.79273504274","-5.5487925002","0.872664625997",0.848423941942,"-2.96275027345",7.79273504274,-5.5487925002,-1.40440195636422,1.002446481405,"30cm","spin","100g",0.8
"3597","1.78","7.94230769231","-5.73171859434","0.890117918517",0.775701889775,"-5.0838101283",7.94230769231,-5.73171859434,-1.38567648805245,1.0193945960163,"30cm","spin","100g",0.8
"3598","1.8","7.94230769231","-5.85366932376","0.907571211037",0.557535733276,"-3.09742074042",7.94230769231,-5.85366932376,-1.35680839709757,1.0157360741337,"30cm","spin","100g",0.6
"3599","1.82","7.82264957265","-5.88415700612","0.907571211037",0.557535733276,"2.82807980647",7.82264957265,-5.88415700612,-1.32944269918593,0.9968727257139,"30cm","spin","100g",0.6
"3600","1.84","7.67307692308","-5.85366932376","0.925024503557",0.775701889775,"3.93911115901",7.67307692308,-5.85366932376,-1.31081489211135,0.9753514587492,"30cm","spin","100g",0.8
"3601","1.86","7.58333333333","-5.82318164141","0.942477796077",0.824183257886,"-0.0336676167437",7.58333333333,-5.82318164141,-1.3022663211127,0.9628045507572,"30cm","spin","100g",0.8
"3602","1.88","7.61324786325","-5.82318164141","0.959931088597",0.775701889775,"-4.17478447622",7.61324786325,-5.82318164141,-1.30740346636458,0.9672917302452,"30cm","spin","100g",0.8
"3603","1.9","7.70299145299","-5.76220627669","0.977384381117",0.557535733276,"-3.97277877576",7.70299145299,-5.76220627669,-1.33681286005867,0.9825825296478,"30cm","spin","100g",0.6
"3604","1.92","7.79273504274","-5.70123091198","0.977384381117",0.53329504922,"0.101002850231",7.79273504274,-5.70123091198,-1.36685132790625,0.9978733290516,"30cm","spin","100g",0.5
"3605","1.94","7.76282051282","-5.57928018256","0.994837673637",0.678739153553,"-0.235673317206",7.76282051282,-5.57928018256,-1.39136595740171,0.9970446714462,"30cm","spin","100g",0.7
"3606","1.96","7.70299145299","-5.51830481784","1.01229096616",0.53329504922,"-1.27936943626",7.70299145299,-5.51830481784,-1.39589814395304,0.9898995734133,"30cm","spin","100g",0.5
